"time","metric","group","scenario","name","method","status","expected_response","load_zone","tags","count","min","mean","median","p95","p99","max","stdev"
"2025-09-17T20:43:21+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",1467,19.969078,47.7579043701432,28.9270000457764,146.123799133301,248.851483764649,375.015711,45.9667009951804
"2025-09-17T20:43:21+00:00","http_req_duration","::setup","default","http://thmanyah-cms-alb-1317497767.us-east-1.elb.amazonaws.com/auth/login","POST","200","true","amazon:us:columbus","{'url': 'http://thmanyah-cms-alb-1317497767.us-east-1.elb.amazonaws.com/auth/login', 'proto': 'HTTP/1.1'}",1,265.646887,265.646887,265.646887,265.646887,265.646887,265.646887,""
"2025-09-17T20:43:21+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",23,223.564362,248.619163043478,244.735000610352,284.466195678711,302.886641235352,307.44675,18.9391633988351
"2025-09-17T20:43:24+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3313,19.480056,39.3635485164503,26.1110000610352,138.648599243164,192.388121337891,433.180235,36.6086246664207
"2025-09-17T20:43:24+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",10,47.336595,222.9344638,247.807006835938,388.524853515625,406.903090820312,411.497638,141.963870796076
"2025-09-17T20:43:27+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3716,19.433154,30.4054887066739,25.2150001525879,61.951000213623,114.098202896118,194.223034,16.6888930916179
"2025-09-17T20:43:27+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",7,61.151547,125.632230285714,71.1669998168945,238.437028503418,259.098294372559,264.263612,80.1259933306574
"2025-09-17T20:43:30+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3841,18.992575,27.5652383439209,24.44700050354,46.3349990844727,77.3109970092773,129.088479,10.590001295174
"2025-09-17T20:43:30+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",3,69.83148,97.6810303333333,74.2389984130859,141.218878173828,147.172645263672,148.661091,44.1975026803864
"2025-09-17T20:43:33+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3804,18.8931,28.4284265701893,24.0629997253418,51.9669990539551,115.198997497559,194.945673,15.915013380779
"2025-09-17T20:43:36+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3859,19.229649,27.235862890127,23.9349994659424,41.9830017089844,102.399002075195,165.868893,13.4871391804925
"2025-09-17T20:43:39+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3890,19.000975,26.922333037018,23.806999206543,44.1717985153198,92.7273177337645,155.380514,11.9377865608923
"2025-09-17T20:43:42+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3834,19.033037,27.4746581032864,24.2550001144409,44.6325994491576,78.6882823181153,130.792168,10.9225750546286
"2025-09-17T20:43:42+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",2,51.267633,61.10575,61.1057510375977,69.7914253234863,70.5634852600098,70.7565,13.6482215370721
"2025-09-17T20:43:45+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3812,18.910391,28.4824459144806,24.1909999847412,56.1781999588012,92.1026773071289,126.670826,12.8493463777917
"2025-09-17T20:43:45+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",4,43.134161,84.64214925,74.6229991912842,139.280110549927,144.703702774048,146.059597,48.5186520291091
"2025-09-17T20:43:48+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3911,19.0202,26.198506764766,23.6790008544922,36.9909992218017,80.3318031311035,130.525957,10.3593605883194
"2025-09-17T20:43:48+00:00","http_req_duration","","default","/discovery/search","GET","500","false","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1', 'error_code': '1500'}",6,55.024245,68.5281738333333,65.0230007171631,84.5082817077637,84.5160911560059,84.518043,13.7861958201713
"2025-09-17T20:43:51+00:00","http_req_duration","","default","/discovery/search","GET","200","true","amazon:us:columbus","{'url': '/discovery/search', 'proto': 'HTTP/1.1'}",3802,18.749924,26.65519383798,23.806999206543,40.6645992279052,95.2258827972412,207.391972,12.3909177752515
